#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
ENSRNOT00000072074,OLR1740-PS,4.6899999999999995e-05,2.4682315
ENSRNOT00000073673,AABR06058552.1,0.0036009909999999996,2.3299429
NM_001000548,Olr158,0.00464657,2.2787837000000004
NM_001000174,Olr168,5.68e-05,2.4102367
NM_001107724,Tram1l1,0.000924343,2.0230639999999998
NM_001002291,Olr1384,0.001064496,2.4376414
NM_172019,Ifi47,0.00021223299999999999,2.3130417000000003
ENSRNOT00000007843,RGD1311744,1.6800000000000002e-05,5.6626898
ENSRNOT00000036054,RGD1311744,2.2e-05,5.1777885999999995
ENSRNOT00000066669,RGD1311744,0.000111346,3.2592042
NM_001098674,Ercc6l,9.14e-06,8.1273196
NM_172055,Cited1,0.00012049200000000001,4.1446124
NM_001271090,Marcks,0.014691814,2.1073651
NM_001012137,Fus,0.000127758,3.8330345
ENSRNOT00000003857,Ankrd45,0.006236204,2.2568131
NM_001244761,Cenpl,8.859999999999999e-05,2.3792497000000004
NM_001106398,Mcu,0.022823158,2.062652
NM_199412,Micu1,0.000714004,2.0145873
ENSRNOT00000047419,AABR06029412.1,4.69e-06,5.3010957
NM_001007150,Stau2,0.000106502,4.0590426
NM_134466,Stau2,0.00016501099999999998,2.7169195
NM_001270562,Tceb1,5.34e-07,2.9081657
ENSRNOT00000072019,LOC682330,0.00039695800000000004,2.2970982999999996
NM_001106113,Hist1h1a,9.549999999999999e-05,5.7995684
ENSRNOT00000075069,LOC684828,0.0018319060000000001,2.2778799
NM_001013056,Hist1h2ail1,0.000197712,2.2697230999999998
NM_001024282,Hist1h2af,1.55e-05,6.3371075
NM_001107354,Hist1h2an,0.000620136,2.3835451
NM_001315492,Hist1h2ah,3.71e-05,7.220797599999999
NM_022647,Hist1h2bl,0.00010588,3.732817
NM_053301,Hfe,1.6899999999999997e-05,3.0505158
NM_133285,Hist1h1d,5.36e-05,10.423399900000001
ENSRNOT00000050392,LOC100912416,7.950000000000001e-05,6.780975200000001
ENSRNOT00000076650,LOC100912416,6.55e-05,4.1629857
NM_001191722,Fndc3c1,0.000183321,22.4219573
ENSRNOT00000008212,Reg3b,0.000114042,2.8126381
ENSRNOT00000043153,LOC316935,0.0006097780000000001,2.4646203
ENSRNOT00000072780,AABR06004569.1,1.41e-06,6.8361243
NM_001244761,Cenpl,8.859999999999999e-05,2.3792497000000004
ENSRNOT00000003789,Kif4a,5.51e-06,12.1990373
NM_001107031,Slfn2,0.028525127,2.2015717999999995
NM_001008751,Krt14,0.005385192,2.8563829
NM_001008816,Krt42,0.006216956,3.4448068999999997
NM_177982,Hap1,2.9299999999999997e-05,2.467518
NM_212545,Krt17,0.005069596,2.0434933
NM_001004021,Krt13,9.84e-05,2.6554574
ENSRNOT00000063806,Krtap4-5,7.28e-07,2.4134719
NM_001004021,Krt13,9.84e-05,2.6554574
NM_001004021,Krt13,9.84e-05,2.6554574
NM_001008751,Krt14,0.005385192,2.8563829
NM_001191821,Frmd4a,0.000801763,2.3889913
ENSRNOT00000073122,Nr2e3,8.62e-05,23.008704
NM_001098674,Ercc6l,9.14e-06,8.1273196
