#NearbyGene,NearbyGeneSymbol,P-value - mRNAs,Fold change - mRNAs
NM_053744,Dlk1,4.98e-05,2.1625055
ENSRNOT00000031978,LOC691354,6.28e-05,2.1621439
NM_001100523,Otp,0.019876919,2.7197929
ENSRNOT00000011926,Dach1,5.06e-06,4.1877778
NM_053583,Zfp423,3.8e-06,3.1133396
NM_001107413,Irx3,2.42e-05,8.522250199999998
ENSRNOT00000030993,LOC685114,3.89e-06,2.7624945
NM_001108885,Klhl14,2.21e-06,6.6100497
NM_053479,Pola1,0.000867982,2.3975302000000003
ENSRNOT00000031978,LOC691354,6.28e-05,2.1621439
NM_001108797,Fam117b,8.19e-06,2.0801892
ENSRNOT00000067235,Ms4a18,1.26e-06,3.4694453999999997
NM_001191897,Ms4a15,2.85e-09,4.5147525
ENSRNOT00000074966,LOC100911403,0.000630294,2.2127407000000003
ENSRNOT00000011325,Ccdc30,0.0021067670000000003,2.0405401999999997
NM_001014139,Slain1,7.87e-07,4.1844015
NM_198764,Sh3rf1,2.47e-05,2.665554
NM_022230,Stc2,4.5399999999999996e-07,26.6455868
NM_053570,Cxadr,2.27e-06,2.1350042
NM_153724,Rcan1,0.00011035299999999999,11.910122900000001
NM_144744,Adipoq,1.11e-06,15.577210500000001
NM_001106930,Efcab1,9.520000000000001e-05,3.8384384
NM_001109060,Stard13,1.31e-05,2.6371423
ENSRNOT00000038577,Zfp12,9.75e-07,7.5391918
NM_181638,Tbx3,5.1e-05,2.7579689
NM_181638,Tbx3,5.1e-05,2.7579689
NM_181638,Tbx3,5.1e-05,2.7579689
NM_001106024,Pde6b,4.13e-09,31.836707099999998
NM_080481,Atp5i,3.41e-07,2.280318
NM_001006962,Tinf2,1.36e-05,2.5060712000000005
NM_021656,Ltb4r,7.66e-08,5.5430781
NM_053640,Ltb4r2,7.5e-06,2.3475531000000003
ENSRNOT00000049315,Mcpt8l3,0.00643889,6.1041822
NM_001135010,Mcpt8l2,0.000361479,6.708266
NM_013092,Cma1,9.690000000000001e-05,10.6374575
NM_019323,Mcpt9,0.008209411,4.1507595
NM_021598,Mcpt8,0.00550443,6.869807700000001
NM_133411,Abcc4,7.68e-06,2.3244092
NM_001107286,Tgds,3.14e-05,2.0531352
ENSRNOT00000075101,AABR06087888.1,1.04e-05,2.8044783
NM_001047978,LOC689713,1.62e-05,3.1036942
NM_138893,Myo16,0.000753442,5.7949684999999995
NM_022179,Hk3,4.870000000000001e-07,4.0127918
NM_022206,Unc5a,8.43e-07,5.2298813
ENSRNOT00000075579,Eif4e1b,5.2e-09,25.4511676
NM_012546,Drd1,3.92e-06,10.4021002
ENSRNOT00000071469,LOC689569,4.7300000000000007e-08,2.2890412999999996
NM_001031642,Serpinb1a,7.530000000000001e-10,11.5764235
NM_001007732,Serpinb9,4.39e-07,2.8589611
NM_001107365,Camk1d,2.2899999999999997e-07,4.85861
NM_012551,Egr1,5.61e-06,5.320551999999999
NM_053398,Gfra3,0.00169435,2.5994882
NM_001100973,Pard6g,4.77e-08,2.5931669999999998
NM_017051,Sod2,0.000138828,3.1213562
NM_001107529,Prc1,0.000166729,2.9174289
NM_031145,Cib1,8.64e-07,2.1775036
ENSRNOT00000047044,RGD1566189,5.18e-10,7.2608548
NM_001033691,Irf7,1.26e-05,3.3860684
NM_022670,Sct,0.000151274,33.833533200000005
NM_001013153,Ubtd1,5.59e-07,3.1903787
NM_001107589,Ankrd2,2.0399999999999998e-05,2.5792675
NM_134373,Avpi1,1.42e-07,2.7689722999999997
NM_001107591,Sfrp5,4.79e-05,2.8268837
NM_134401,Crtac1,0.014759852,4.0344865
ENSRNOT00000001583,Rrp1b,8.669999999999999e-05,2.1658560000000002
NM_031769,Pdxk,5.53e-06,2.186053
NM_001004225,RGD1303003,1.62e-05,2.2071799
NM_001173528,Trappc10,0.000381318,2.0156531
NM_001007797,Arrdc3,8.15e-06,2.7900089
NM_001108950,Gnat2,4.37e-07,3.8917312999999996
ENSRNOT00000014695,Zgrf1,0.022963526,2.4294886000000004
ENSRNOT00000030798,Alpk1,0.000535974,2.1982215
NM_001012084,Adh6,4.42e-06,5.8515439
NM_139104,Egfl7,0.001347466,2.21844
NM_053573,Olfm1,0.000526262,2.2079092
NM_053634,Fcnb,0.002536771,4.0774799
NM_138710,Dab2ip,2.4e-09,48.372105100000006
NM_001012741,Lipg,1.24e-06,4.8620019
NM_001013160,Trim69,0.00081709,2.3495662999999998
NM_017052,Sord,1.08e-07,8.922241099999999
NM_024141,Duox2,1.13e-05,2.9340275
NM_001106517,Sptlc3,1.05e-06,4.3295718
ENSRNOT00000045637,AABR06026447.1,8.72e-09,6.1309469000000005
ENSRNOT00000026712,AABR06027215.1,8.58e-05,2.3452405
NM_001047111,Dbndd2,8.240000000000001e-05,2.2586264
